wkt_geom,wkt_geom,wkt_geom_2,wkt_geom_1,incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_administrative_unit_url,incident_county,incident_location,incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_url,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active,calfire_incident,notification_desired,SiteName,Site_latitute,Site_longitute
Point (-122.61100000000000421 41.78130000000000166),Point (-122.61100000000000421 41.78130000000000166),Point (-122.61100000000000421 41.78130000000000166),Point (-122.61100000000000421 41.78130000000000166),Grade Fire,Y,2022-10-24T11:09:56.000Z,2016-08-24T14:55:00.000Z,CAL FIRE Siskiyou Unit,,Siskiyou,"off Hwy 263, 2 miles north of Yreka",710,100,Rocky Gulch and Hawkinsville Humbug Rd will remain closed to non-residence.,"CAL FIRE Siskiyou Unit, Siskiyou County Sheriff, CHP, CAL TRANS, Siskiyou County OES",-122.611,41.7813,,a2a6199c-704a-4826-a51b-23e6ee123349,https://www.fire.ca.gov/incidents/2016/8/24/grade-fire/,2016-08-30T06:45:00.000Z,8/30/16,8/24/16,N,TRUE,FALSE,Yreka-Foothill Drive,41.72679,-122.63359
Point (-122.69295999999999935 41.79319000000000273),Point (-122.69295999999999935 41.79319000000000273),Point (-122.69295999999999935 41.79319000000000273),Point (-122.69295999999999935 41.79319000000000273),Badger Fire,Y,2020-08-13T11:22:45.000Z,2020-07-18T17:18:20.000Z,CAL FIRE Siskiyou,,Siskiyou,Badger Mountain Road and Hawkinsville Humbug Road,557,100,,,-122.69296,41.79319,Wildfire,9520d0cb-1a4f-4dc0-bd38-967f5ee353f0,https://www.fire.ca.gov/incidents/2020/7/18/badger-fire/,2020-07-28T18:21:00.000Z,7/28/20,7/18/20,N,TRUE,FALSE,Yreka-Foothill Drive,41.72679,-122.63359
Point (-122.69240800000000036 41.7937689999999975),Point (-122.69240800000000036 41.7937689999999975),Point (-122.69240800000000036 41.7937689999999975),Point (-122.69240800000000036 41.7937689999999975),Eliza Fire,N,2022-10-28T11:25:04.000Z,2022-09-08T19:57:47.000Z,Klamath National Forest,,Siskiyou,Hawkinsville Humbug Rd and Humbug Creek Rd west of Yreka,0,0,,,-122.692408,41.793769,Wildfire,4eab4eb2-77d3-48df-bf15-40b61f15cccd,https://www.fire.ca.gov/incidents/2022/9/8/eliza-fire/,,,9/8/22,N,FALSE,FALSE,Yreka-Foothill Drive,41.72679,-122.63359
Point (-122.94599999999999795 40.74119999999999919),Point (-122.94599999999999795 40.74119999999999919),Point (-122.94599999999999795 40.74119999999999919),Point (-122.94599999999999795 40.74119999999999919),Oregon Fire,Y,2022-10-24T11:32:37.000Z,2014-08-24T16:36:00.000Z,CAL FIRE Shasta-Trinity Unit,,Trinity,"off Hwy 299 at Oregon Mountain Summit, near Weaverville",461,100,Weaver Bally Rd open to normal traffic flow,"CAL FIRE Shasta-Trinity Unit, Shasta Co. FD, USFS, Weaverville FD, CHP, Trinity Co. Sheriff's Office, Cal OES, CDC, PG&E, Cal Trans, Junction City FPD, Post Mountain FPD, Douglas City FPD, Trinity Center FPD, Sierra Pacific Industries",-122.946,40.7412,,3b954901-aa80-4894-b330-c287d47b68be,https://www.fire.ca.gov/incidents/2014/8/24/oregon-fire/,2014-08-28T19:00:00.000Z,8/28/14,8/24/14,N,TRUE,FALSE,Weaverville-Courthouse,40.73475,-122.94117
Point (-122.96174000000000603 40.72489800000000315),Point (-122.96174000000000603 40.72489800000000315),Point (-122.96174000000000603 40.72489800000000315),Point (-122.96174000000000603 40.72489800000000315),Democrat Fire,Y,2015-08-29T18:45:00.000Z,2015-08-25T14:08:00.000Z,CAL FIRE Shasta-Trinity Unit,,Trinity,"Democrat Gulch, west of Weaverville",128,100,,"CAL FIRE Shasta-Trinity Unit, Shasta County Fire Department, Weaverville Fire Department, Lewiston Volunteer Fire Department, Douglas City Volunteer Fire Department, United States Forest Service, Trinity County Sherriff�s Office, Bureau of Land Management, American Red Cross, California Department of Corrections and Rehabilitation, Cal OES, California Highway Patrol",-122.96174,40.724898,,da522578-443a-4c52-a9bb-d72bbb84dcdb,https://www.fire.ca.gov/incidents/2015/8/25/democrat-fire/,2015-08-29T18:45:00.000Z,8/29/15,8/25/15,N,TRUE,FALSE,Weaverville-Courthouse,40.73475,-122.94117
Point (-122.43970000000000198 40.59530000000000172),Point (-122.43970000000000198 40.59530000000000172),Point (-122.43970000000000198 40.59530000000000172),Point (-122.43970000000000198 40.59530000000000172),Keswick Fire,Y,2015-07-08T16:30:00.000Z,2015-07-07T12:34:00.000Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Middle Creek Road, north of Hwy 299",18,100,,"CAL FIRE Shasta-Trinity Unit, CAL FIRE, Shasta County Fire Department, Redding Fire Department",-122.4397,40.5953,,64fa2a72-b964-421d-b88f-5ac2e37647d4,https://www.fire.ca.gov/incidents/2015/7/7/keswick-fire/,2015-07-08T16:30:00.000Z,7/8/15,7/7/15,N,TRUE,FALSE,Redding-Health Dept Roof,40.55013,-122.38092
Point (-122.38618999999999915 40.48971999999999838),Point (-122.38618999999999915 40.48971999999999838),Point (-122.38618999999999915 40.48971999999999838),Point (-122.38618999999999915 40.48971999999999838),North Fire,Y,2018-01-09T11:56:00.000Z,2017-07-15T18:10:00.000Z,CAL FIRE Shasta-Trinity Unit,,Shasta,"Canyon Road and China Gulch, Happy Valley",10,100,,CAL FIRE Shasta-Trinity Unit,-122.38619,40.48972,,2ec4e814-477b-47e7-a36b-4da26f94e277,https://www.fire.ca.gov/incidents/2017/7/15/north-fire/,2018-01-09T11:56:00.000Z,1/9/18,7/15/17,N,TRUE,FALSE,Redding-Health Dept Roof,40.55013,-122.38092
Point (-122.43608000000000402 40.47106000000000137),Point (-122.43608000000000402 40.47106000000000137),Point (-122.43608000000000402 40.47106000000000137),Point (-122.43608000000000402 40.47106000000000137),Laverne Fire,Y,2018-01-09T12:01:00.000Z,2017-07-18T12:39:00.000Z,CAL FIRE Shasta-Trintiy Unit,,Shasta,"off of Laverne Ln & Saddle Trail, 6 miles southeast of Redding",180,100,,"CAL FIRE Shasta-Trintiy Unit, Shasta County Sheriff Department, California Highway Patrol, Redding City Fire, Redding Police Department, Shasta County Public Works, PG&E, Shasta Trinity National Forest, Shasta County Fire Department.",-122.43608,40.47106,,3c61a039-cf71-40da-89e9-bcc5a62e2c1a,https://www.fire.ca.gov/incidents/2017/7/18/laverne-fire/,2018-01-09T12:01:00.000Z,1/9/18,7/18/17,N,TRUE,FALSE,Redding-Health Dept Roof,40.55013,-122.38092
Point (-122.42307999999999879 40.5031800000000004),Point (-122.42307999999999879 40.5031800000000004),Point (-122.42307999999999879 40.5031800000000004),Point (-122.42307999999999879 40.5031800000000004),Creek Fire,Y,2019-01-04T10:01:00.000Z,2018-06-24T12:29:00.000Z,Unified Command: CAL FIRE and City of Redding Fire Department,,Shasta,"Clear Creek Rd & American Rd, west of Redding",1678,100,,"Unified Command: CAL FIRE and City of Redding Fire Department, Shasta County Fire Department, Redding Fire Department, Happy Valley Fire Department, Shasta Lake Fire Protection District, Cottonwood Fire Department, Cal OES, Bureau of Land Management",-122.42308,40.50318,,b900fe52-8900-4578-9745-58036920a1ab,https://www.fire.ca.gov/incidents/2018/6/24/creek-fire/,2019-01-04T10:01:00.000Z,1/4/19,6/24/18,N,TRUE,FALSE,Redding-Health Dept Roof,40.55013,-122.38092
Point (-122.38366000000000611 40.60866000000000042),Point (-122.38366000000000611 40.60866000000000042),Point (-122.38366000000000611 40.60866000000000042),Point (-122.38366000000000611 40.60866000000000042),Masonic Fire,Y,2019-01-04T08:53:00.000Z,2018-10-14T11:33:00.000Z,Redding City Fire,,Shasta,"Lake Blvd & Masonic Ave, Redding",38,100,,Redding City Fire,-122.38366,40.60866,,83c539f5-64c1-4156-86e5-ac6cf4c947d5,https://www.fire.ca.gov/incidents/2018/10/14/masonic-fire/,2019-01-04T08:53:00.000Z,1/4/19,10/14/18,N,FALSE,FALSE,Redding-Health Dept Roof,40.55013,-122.38092
