latitude,longitude,start_date,end_date,site_name,site_id
41.7813,-122.611,8/24/16,8/30/16,Yreka-Foothill Drive,2752
41.79319,-122.69296,7/18/20,7/28/20,Yreka-Foothill Drive,2752
40.7412,-122.946,8/24/14,8/28/14,Weaverville-Courthouse,3132
40.724898,-122.96174,8/25/15,8/29/15,Weaverville-Courthouse,3132
40.5953,-122.4397,7/7/15,7/8/15,Redding-Health Dept Roof,2829
40.48972,-122.38619,7/15/17,1/9/18,Redding-Health Dept Roof,2829
40.47106,-122.43608,7/18/17,1/9/18,Redding-Health Dept Roof,2829
40.50318,-122.42308,6/24/18,1/4/19,Redding-Health Dept Roof,2829
40.60866,-122.38366,10/14/18,1/4/19,Redding-Health Dept Roof,2829
40.581893,-122.449341,8/10/24,8/14/24,Redding-Health Dept Roof,2829
40.19611,-122.26736,8/3/16,8/4/16,Red Bluff-1834 Walnut Street,3816
40.10282,-122.27379,6/24/17,1/9/18,Red Bluff-1834 Walnut Street,3816
40.1583,-122.3209,7/28/17,1/9/18,Red Bluff-1834 Walnut Street,3816
40.20077,-122.24731,10/3/17,1/9/18,Red Bluff-1834 Walnut Street,3816
40.24789,-122.255,10/8/17,1/9/18,Red Bluff-1834 Walnut Street,3816
40.201826,-122.29388,6/1/18,1/4/19,Red Bluff-1834 Walnut Street,3816
40.12791,-122.19792,6/23/18,1/4/19,Red Bluff-1834 Walnut Street,3816
40.18395,-122.27574,6/23/18,1/4/19,Red Bluff-1834 Walnut Street,3816
40.22027778,-122.18,10/7/18,1/4/19,Red Bluff-1834 Walnut Street,3816
40.201159,-122.284309,9/26/24,9/26/24,Red Bluff-1834 Walnut Street,3816
39.9034,-120.9761,7/29/17,1/9/18,Quincy-N Church Street,3020
39.9864,-120.89746,8/20/17,1/9/18,Quincy-N Church Street,3020
39.7947,-121.857,6/11/16,6/11/16,Chico-East Avenue,3783
39.76243,-121.74121,7/19/17,4/12/18,Chico-East Avenue,3783
39.77124,-121.76859,7/12/18,1/4/19,Chico-East Avenue,3783
39.71217,-121.77385,11/29/18,1/4/19,Chico-East Avenue,3783
39.77144,-121.76629,6/17/21,6/19/21,Chico-East Avenue,3783
39.43301,-123.36316,7/30/15,8/3/15,Willits-Blosser Lane,3850
39.37879,-121.68694,6/22/22,6/22/22,Gridley-Cowee Avenue,2630
39.377918,-121.68793,8/9/23,8/9/23,Gridley-Cowee Avenue,2630
39.20427,-121.05948,9/17/16,9/20/16,Grass Valley-Litton Building,3126
39.19325,-121.08406,10/9/17,2/9/18,Grass Valley-Litton Building,3126
39.24549,-121.12792,10/8/17,2/9/18,Grass Valley-Litton Building,3126
39.29241,-121.100352,8/17/20,8/28/20,Grass Valley-Litton Building,3126
39.2805,-121.1329,8/20/22,8/29/22,Grass Valley-Litton Building,3126
39.2333948,-122.0246463,5/24/22,5/28/22,Colusa-Sunrise Blvd,2744
39.232362,-123.202039,9/12/21,9/20/21,Ukiah-County Library,2271
39.15641,-121.56363,6/8/19,6/17/19,Yuba City-Almond Street,2958
39.113682,-120.999508,9/13/14,9/18/14,Colfax-City Hall,3002
39.16826,-120.95498,7/27/17,1/9/18,Colfax-City Hall,3002
39.08805,-121.01468,8/4/21,8/13/21,Colfax-City Hall,3002
39.04941,-120.9526,8/15/22,8/31/22,Colfax-City Hall,3002
38.9361,-121.1548,7/22/15,7/22/15,Auburn-11645 Atwood Road,3789
38.921239,-121.036613,9/5/21,9/14/21,Auburn-11645 Atwood Road,3789
38.8807773,-121.156605,7/19/24,7/21/24,Auburn-11645 Atwood Road,3789
38.8390117,-121.3090268,5/17/16,5/19/16,Lincoln-2885 Moore Road,3841
38.86804,-121.37704,6/21/16,6/21/16,Lincoln-2885 Moore Road,3841
38.89178,-121.33956,6/18/20,6/18/20,Lincoln-2885 Moore Road,3841
38.81111,-121.318472,8/10/20,8/11/20,Lincoln-2885 Moore Road,3841
38.82437,-121.3909,6/24/24,6/25/24,Lincoln-2885 Moore Road,3841
38.63987,-121.08438,7/19/13,7/19/13,Folsom-Natoma Street,3187
38.595865,-121.17693,6/29/18,1/4/19,Folsom-Natoma Street,3187
38.622058,-121.114095,8/2/19,8/2/19,Folsom-Natoma Street,3187
38.686478,-121.103299,8/2/20,8/2/20,Folsom-Natoma Street,3187
38.520981,-121.201927,6/12/20,6/17/20,Sloughhouse,3209
38.474502,-121.172572,8/13/20,8/14/20,Sloughhouse,3209
38.54166,-121.24438,6/17/24,6/19/24,Sloughhouse,3209
38.524067,-121.279094,8/26/24,8/26/24,Sloughhouse,3209
38.323263,-122.796221,6/27/22,6/27/22,Sebastopol-103 Morris Street,3804
38.33475,-122.02564,7/22/16,7/22/16,Vacaville-Ulatis Drive,3678
38.43658,-121.97233,10/2/17,1/9/18,Vacaville-Ulatis Drive,3678
38.42619,-121.97785,6/23/22,6/24/22,Vacaville-Ulatis Drive,3678
38.265241,-121.981732,10/7/23,10/10/23,Vacaville-Ulatis Drive,3678
38.28328,-121.45965,5/8/21,5/8/21,Elk Grove-Bruceville Road,2977
38.1874,-120.6381,8/28/16,8/31/16,San Andreas-Gold Strike Road,3144
38.20176,-120.67848,7/5/17,1/9/18,San Andreas-Gold Strike Road,3144
38.2856696,-120.656662,7/23/24,7/28/24,San Andreas-Gold Strike Road,3144
38.1029,-122.1578,7/10/15,7/10/15,Vallejo-304 Tuolumne Street,2410
38.07481,-122.23004,6/22/17,1/9/18,Vallejo-304 Tuolumne Street,2410
38.02929,-122.25544,7/8/17,1/9/18,Vallejo-304 Tuolumne Street,2410
