site,date,start_hour,humidity
2116,2014-04-19,0,43.1
2116,2014-04-19,1,42.5
2116,2014-04-19,2,52.9
2116,2014-04-19,3,56.0
2116,2014-04-19,4,59.2
2116,2014-04-19,5,66.9
2116,2014-04-19,6,59.8
2116,2014-04-19,7,46.0
2116,2014-04-19,8,36.3
2116,2014-04-19,9,31.5
2116,2014-04-19,10,27.2
2116,2014-04-19,11,23.9
2116,2014-04-19,12,20.6
2116,2014-04-19,13,17.9
2116,2014-04-19,14,16.9
2116,2014-04-19,15,16.9
2116,2014-04-19,16,17.4
2116,2014-04-19,17,17.6
2116,2014-04-19,18,21.9
2116,2014-04-19,19,24.9
2116,2014-04-19,20,24.1
2116,2014-04-19,21,28.8
2116,2014-04-19,22,34.2
2116,2014-04-19,23,35.8
2116,2014-04-20,0,39.3
2116,2014-04-20,1,39.6
2116,2014-04-20,2,43.3
2116,2014-04-20,3,42.4
2116,2014-04-20,4,48.2
2116,2014-04-20,5,39.8
2116,2014-04-20,6,27.5
2116,2014-04-20,7,19.5
2116,2014-04-20,8,15.3
2116,2014-04-20,9,12.4
2116,2014-04-20,10,11.5
2116,2014-04-20,11,12.7
2116,2014-04-20,12,13.5
2116,2014-04-20,13,12.2
2116,2014-04-20,14,11.4
2116,2014-04-20,15,11.0
2116,2014-04-20,16,11.2
2116,2014-04-20,17,12.7
2116,2014-04-20,18,12.7
2116,2014-04-20,19,11.3
2116,2014-04-20,20,13.1
2116,2014-04-20,21,14.6
2116,2014-04-20,22,14.1
2116,2014-04-20,23,16.9
2116,2014-04-21,0,22.0
2116,2014-04-21,1,21.2
2116,2014-04-21,2,28.1
2116,2014-04-21,3,27.6
2116,2014-04-21,4,33.7
2116,2014-04-21,5,41.0
2116,2014-04-21,6,37.5
2116,2014-04-21,7,22.1
2116,2014-04-21,8,17.5
2116,2014-04-21,9,13.7
2116,2014-04-21,10,13.8
2116,2014-04-21,11,12.1
2116,2014-04-21,12,9.1
2116,2014-04-21,13,8.1
2116,2014-04-21,14,8.1
2116,2014-04-21,15,8.5
2116,2014-04-21,16,8.3
2116,2014-04-21,17,9.4
2116,2014-04-21,18,9.0
2116,2014-04-21,19,10.0
2116,2014-04-21,20,13.0
2116,2014-04-21,21,15.0
2116,2014-04-21,22,15.3
2116,2014-04-21,23,13.5
2116,2022-02-16,0,47.0
2116,2022-02-16,1,47.0
2116,2022-02-16,2,45.0
2116,2022-02-16,3,47.0
2116,2022-02-16,4,51.0
2116,2022-02-16,5,50.0
2116,2022-02-16,6,52.0
2116,2022-02-16,7,51.0
2116,2022-02-16,8,41.0
2116,2022-02-16,9,31.0
2116,2022-02-16,10,21.0
2116,2022-02-16,11,15.0
2116,2022-02-16,12,18.0
2116,2022-02-16,13,22.0
2116,2022-02-16,14,27.0
2116,2022-02-16,15,30.0
2116,2022-02-16,16,30.0
2116,2022-02-16,17,32.0
2116,2022-02-16,18,35.0
2116,2022-02-16,19,37.0
2116,2022-02-16,20,38.0
2116,2022-02-16,21,40.0
2116,2022-02-16,22,39.0
2116,2022-02-16,23,38.0
2116,2022-02-17,0,38.0
2116,2022-02-17,1,37.0
2116,2022-02-17,2,38.0
2116,2022-02-17,3,45.0
2116,2022-02-17,4,50.0
2116,2022-02-17,5,53.0
2116,2022-02-17,6,58.0
2116,2022-02-17,7,55.0
2116,2022-02-17,8,44.0
2116,2022-02-17,9,38.0
2116,2022-02-17,10,29.0
2116,2022-02-17,11,24.0
2116,2022-02-17,12,20.0
2116,2022-02-17,13,17.0
2116,2022-02-17,14,15.0
2116,2022-02-17,15,14.0
2116,2022-02-17,16,13.0
2116,2022-02-17,17,16.0
2116,2022-02-17,18,21.0
2116,2022-02-17,19,27.0
2116,2022-02-17,20,34.0
2116,2022-02-17,21,37.0
2116,2022-02-17,22,40.0
2116,2022-02-17,23,40.0
2116,2022-02-18,0,42.0
2116,2022-02-18,1,44.0
2116,2022-02-18,2,55.0
2116,2022-02-18,3,51.0
2116,2022-02-18,4,59.0
2116,2022-02-18,5,53.0
2116,2022-02-18,6,53.0
2116,2022-02-18,7,47.0
2116,2022-02-18,8,37.0
2116,2022-02-18,9,25.0
2116,2022-02-18,10,18.0
2116,2022-02-18,11,12.0
2116,2022-02-18,12,13.0
2116,2022-02-18,13,13.0
