site,date,start_hour,peak_wind_speed
2116,2022-02-16,0,11.83
2116,2022-02-16,1,11.32
2116,2022-02-16,2,14.4
2116,2022-02-16,3,12.35
2116,2022-02-16,4,10.8
2116,2022-02-16,5,11.32
2116,2022-02-16,6,8.74
2116,2022-02-16,7,6.69
2116,2022-02-16,8,6.17
2116,2022-02-16,9,7.2
2116,2022-02-16,10,9.77
2116,2022-02-16,11,18.52
2116,2022-02-16,12,21.6
2116,2022-02-16,13,20.06
2116,2022-02-16,14,17.49
2116,2022-02-16,15,18.0
2116,2022-02-16,16,16.98
2116,2022-02-16,17,14.92
2116,2022-02-16,18,13.37
2116,2022-02-16,19,13.89
2116,2022-02-16,20,12.86
2116,2022-02-16,21,8.23
2116,2022-02-16,22,10.8
2116,2022-02-16,23,10.8
2116,2022-02-17,0,9.26
2116,2022-02-17,1,9.26
2116,2022-02-17,2,7.72
2116,2022-02-17,3,7.2
2116,2022-02-17,4,7.2
2116,2022-02-17,5,5.14
2116,2022-02-17,6,5.14
2116,2022-02-17,7,6.69
2116,2022-02-17,8,6.17
2116,2022-02-17,9,7.2
2116,2022-02-17,10,7.2
2116,2022-02-17,11,6.69
2116,2022-02-17,12,6.17
2116,2022-02-17,13,6.69
2116,2022-02-17,14,5.14
2116,2022-02-17,15,3.09
2116,2022-02-17,16,2.06
2116,2022-02-17,17,3.09
2116,2022-02-17,18,2.57
2116,2022-02-17,19,5.14
2116,2022-02-17,20,3.09
2116,2022-02-17,21,1.54
2116,2022-02-17,22,3.09
2116,2022-02-17,23,3.6
2116,2022-02-18,0,2.06
2116,2022-02-18,1,3.09
2116,2022-02-18,2,4.63
2116,2022-02-18,3,4.12
2116,2022-02-18,4,5.14
2116,2022-02-18,5,4.63
2116,2022-02-18,6,4.63
2116,2022-02-18,7,3.09
2116,2022-02-18,8,3.6
2116,2022-02-18,9,3.09
2116,2022-02-18,10,4.12
2116,2022-02-18,11,4.12
2116,2022-02-18,12,4.63
2116,2022-02-18,13,3.6
2116,2022-02-18,14,3.6
2116,2022-02-18,15,3.6
2116,2022-02-18,16,3.09
2116,2022-02-18,17,2.57
2116,2022-02-18,18,4.63
2116,2022-02-18,19,4.12
2116,2022-02-18,20,3.09
2116,2022-02-18,21,3.6
2116,2022-02-18,22,4.63
2116,2022-02-18,23,5.14
2116,2022-02-19,0,4.12
2116,2022-02-19,1,4.12
2116,2022-02-19,2,4.63
2116,2022-02-19,3,4.12
2116,2022-02-19,4,3.6
2116,2022-02-19,5,3.09
2116,2022-02-19,6,3.09
2116,2022-02-19,7,3.09
2116,2022-02-19,8,4.12
2116,2022-02-19,9,4.12
2116,2022-02-19,10,3.6
2116,2022-02-19,11,3.6
2116,2022-02-19,12,5.14
2116,2022-02-19,13,4.63
2116,2022-02-19,14,4.63
2116,2022-02-19,15,5.14
2116,2022-02-19,16,5.14
2116,2022-02-19,17,3.6
2116,2022-02-19,18,3.6
2116,2022-02-19,19,2.57
2116,2022-02-19,20,3.6
2116,2022-02-19,21,4.63
2116,2022-02-19,22,4.12
2116,2022-02-19,23,3.6
2116,2022-02-20,0,3.6
2116,2022-02-20,1,4.63
2116,2022-02-20,2,5.14
2116,2022-02-20,3,3.09
2116,2022-02-20,4,4.12
2116,2022-02-20,5,4.12
2116,2022-02-20,6,3.09
2116,2022-02-20,7,3.09
2116,2022-02-20,8,3.6
2116,2022-02-20,9,2.57
2116,2022-02-20,10,2.06
2116,2022-02-20,11,2.57
2116,2022-02-20,12,2.57
2116,2022-02-20,13,2.06
2116,2022-02-20,14,3.6
2116,2022-02-20,15,4.12
2116,2022-02-20,16,3.6
2116,2022-02-20,17,2.06
2116,2022-02-20,18,4.63
2116,2022-02-20,19,4.12
2116,2022-02-20,20,6.69
2116,2022-02-20,21,7.2
2116,2022-02-20,22,6.17
2116,2022-02-20,23,5.66
2116,2022-02-21,0,4.63
2116,2022-02-21,1,6.17
2116,2022-02-21,2,8.23
2116,2022-02-21,3,7.72
2116,2022-02-21,4,7.72
2116,2022-02-21,5,7.72
2116,2022-02-21,6,7.72
2116,2022-02-21,7,13.37
2116,2022-02-21,8,15.95
2116,2022-02-21,9,19.03
2116,2022-02-21,10,16.98
2116,2022-02-21,11,15.95
2116,2022-02-21,12,15.43
2116,2022-02-21,13,12.35
2116,2022-02-21,14,13.37
2116,2022-02-21,15,12.86
2116,2022-02-21,16,12.86
2116,2022-02-21,17,9.26
2116,2022-02-21,18,12.86
2116,2022-02-21,19,12.86
2116,2022-02-21,20,13.37
2116,2022-02-21,21,12.35
2116,2022-02-21,22,10.8
2116,2022-02-21,23,6.69
2116,2022-02-22,0,7.72
2116,2022-02-22,1,4.63
2116,2022-02-22,2,2.57
2116,2022-02-22,3,5.14
2116,2022-02-22,4,6.17
2116,2022-02-22,5,5.66
2116,2022-02-22,6,5.66
2116,2022-02-22,7,4.12
2116,2022-02-22,8,2.57
2116,2022-02-22,9,3.09
2116,2022-02-22,10,3.6
2116,2022-02-22,11,7.72
2116,2022-02-22,12,14.92
2116,2022-02-22,13,12.35
2116,2022-02-22,14,11.83
2116,2022-02-22,15,14.92
2116,2022-02-22,16,12.86
2116,2022-02-22,17,9.77
2116,2022-02-22,18,11.32
2116,2022-02-22,19,10.8
2116,2022-02-22,20,12.86
2116,2022-02-22,21,12.86
2116,2022-02-22,22,10.29
2116,2022-02-22,23,10.29
2116,2022-02-23,0,9.77
2116,2022-02-23,1,7.2
2116,2022-02-23,2,8.74
2116,2022-02-23,3,10.8
2116,2022-02-23,4,8.23
2116,2022-02-23,5,7.2
2116,2022-02-23,6,10.29
2116,2022-02-23,7,11.83
2116,2022-02-23,8,13.89
2116,2022-02-23,9,14.4
2116,2022-02-23,10,15.43
2116,2022-02-23,11,15.43
2116,2022-02-23,12,15.43
2116,2022-02-23,13,14.4
2116,2022-02-23,14,16.98
2116,2022-02-23,15,15.43
2116,2022-02-23,16,15.95
2116,2022-02-23,17,15.95
2116,2022-02-23,18,15.43
2116,2022-02-23,19,10.8
2116,2022-02-23,20,10.29
2116,2022-02-23,21,10.8
2116,2022-02-23,22,9.26
2116,2022-02-23,23,6.69
2116,2022-02-24,0,7.72
2116,2022-02-24,1,7.72
2116,2022-02-24,2,6.17
2116,2022-02-24,3,4.63
2116,2022-02-24,4,3.6
2116,2022-02-24,5,4.12
2116,2022-02-24,6,3.09
2116,2022-02-24,7,2.57
2116,2022-02-24,8,3.09
2116,2022-02-24,9,4.12
2116,2022-02-24,10,4.12
2116,2022-02-24,11,3.6
2116,2022-02-24,12,4.63
2116,2022-02-24,13,6.17
2116,2022-02-24,14,6.69
2116,2022-02-24,15,5.66
2116,2022-02-24,16,5.14
2116,2022-02-24,17,4.63
2116,2022-02-24,18,5.14
2116,2022-02-24,19,2.57
2116,2022-02-24,20,3.09
2116,2022-02-24,21,3.6
2116,2022-02-24,22,3.6
2116,2022-02-24,23,3.09
2116,2022-02-25,0,2.57
2116,2022-02-25,1,3.09
2116,2022-02-25,2,3.6
2116,2022-02-25,3,2.57
2116,2022-02-25,4,3.09
2116,2022-02-25,5,3.09
2116,2022-02-25,6,3.09
2116,2022-02-25,7,3.09
2116,2022-02-25,8,5.14
2116,2022-02-25,9,5.66
2116,2022-02-25,10,5.66
2116,2022-02-25,11,5.14
2116,2022-02-25,12,5.66
2116,2022-02-25,13,5.14
2116,2022-02-25,14,4.12
2116,2022-02-25,15,4.12
2116,2022-02-25,16,3.6
2116,2022-02-25,17,5.66
2116,2022-02-25,18,5.14
2116,2022-02-25,19,6.69
2116,2022-02-25,20,7.72
2116,2022-02-25,21,5.66
2116,2022-02-25,22,5.14
2116,2022-02-25,23,4.12
2116,2022-02-26,0,5.14
2116,2022-02-26,1,4.12
2116,2022-02-26,2,3.6
2116,2022-02-26,3,4.63
2116,2022-02-26,4,3.09
2116,2022-02-26,5,3.09
2116,2022-02-26,6,3.6
2116,2022-02-26,7,3.09
2116,2022-02-26,8,6.17
2116,2022-02-26,9,7.2
2116,2022-02-26,10,5.14
2116,2022-02-26,11,3.6
2116,2022-02-26,12,5.14
2116,2022-02-26,13,4.63
2116,2022-02-26,14,4.12
2116,2022-02-26,15,5.66
2116,2022-02-26,16,9.77
2116,2022-02-26,17,9.26
2116,2022-02-26,18,8.23
2116,2022-02-26,19,8.23
2116,2022-02-26,20,5.14
2116,2022-02-26,21,4.12
2116,2022-02-26,22,3.6
2116,2022-02-26,23,4.12
2320,2017-07-23,0,1.2
2320,2017-07-23,1,0.9
2320,2017-07-23,2,1.2
2320,2017-07-23,3,1.6
2320,2017-07-23,4,1.2
2320,2017-07-23,5,2.1
2320,2017-07-23,6,1.9
2320,2017-07-23,7,2.7
2320,2017-07-23,8,2.6
2320,2017-07-23,9,3.1
2320,2017-07-23,10,4.2
2320,2017-07-23,11,3.2
2320,2017-07-23,12,5.5
2320,2017-07-23,13,5.6
2320,2017-07-23,14,5.2
2320,2017-07-23,15,5.4
2320,2017-07-23,16,5.2
2320,2017-07-23,17,4.2
2320,2017-07-23,18,3.8
2320,2017-07-23,19,4.3
2320,2017-07-23,20,3.7
2320,2017-07-23,21,3.9
2320,2017-07-23,22,2.0
2320,2017-07-23,23,2.7
2320,2017-07-24,0,3.0
2320,2017-07-24,1,2.6
2320,2017-07-24,2,1.5
2320,2017-07-24,3,1.1
