site,date,start_hour,solar_radiation
2116,2022-02-16,0,0.0
2116,2022-02-16,1,0.0
2116,2022-02-16,2,0.0
2116,2022-02-16,3,0.0
2116,2022-02-16,4,0.0
2116,2022-02-16,5,0.0
2116,2022-02-16,6,0.0
2116,2022-02-16,7,111.57
2116,2022-02-16,8,355.62
2116,2022-02-16,9,529.95
2116,2022-02-16,10,662.43
2116,2022-02-16,11,725.19
2116,2022-02-16,12,711.25
2116,2022-02-16,13,669.41
2116,2022-02-16,14,557.84
2116,2022-02-16,15,376.54
2116,2022-02-16,16,181.3
2116,2022-02-16,17,13.95
2116,2022-02-16,18,0.0
2116,2022-02-16,19,0.0
2116,2022-02-16,20,0.0
2116,2022-02-16,21,0.0
2116,2022-02-16,22,0.0
2116,2022-02-16,23,0.0
2116,2022-02-17,0,0.0
2116,2022-02-17,1,0.0
2116,2022-02-17,2,0.0
2116,2022-02-17,3,0.0
2116,2022-02-17,4,0.0
2116,2022-02-17,5,0.0
2116,2022-02-17,6,6.97
2116,2022-02-17,7,118.54
2116,2022-02-17,8,362.6
2116,2022-02-17,9,543.89
2116,2022-02-17,10,669.41
2116,2022-02-17,11,746.11
2116,2022-02-17,12,746.11
2116,2022-02-17,13,690.33
2116,2022-02-17,14,564.81
2116,2022-02-17,15,383.52
2116,2022-02-17,16,188.27
2116,2022-02-17,17,13.95
2116,2022-02-17,18,0.0
2116,2022-02-17,19,0.0
2116,2022-02-17,20,0.0
2116,2022-02-17,21,0.0
2116,2022-02-17,22,0.0
2116,2022-02-17,23,0.0
2116,2022-02-18,0,0.0
2116,2022-02-18,1,0.0
2116,2022-02-18,2,0.0
2116,2022-02-18,3,0.0
2116,2022-02-18,4,0.0
2116,2022-02-18,5,0.0
2116,2022-02-18,6,6.97
2116,2022-02-18,7,118.54
2116,2022-02-18,8,362.6
2116,2022-02-18,9,543.89
2116,2022-02-18,10,669.41
2116,2022-02-18,11,739.14
2116,2022-02-18,12,746.11
2116,2022-02-18,13,683.35
2116,2022-02-18,14,557.84
2116,2022-02-18,15,383.52
2116,2022-02-18,16,188.27
2116,2022-02-18,17,13.95
2116,2022-02-18,18,0.0
